id,stockout_days,lost_units,total_demand,fill_rate,avg_on_hand
FOODS_2_006_CA_1_evaluation,0,0.0,3.0,1.0,2.4987408541972758
FOODS_2_007_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_2_008_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_2_009_CA_1_evaluation,0,0.0,37.0,1.0,6.267863431464468
FOODS_2_010_CA_1_evaluation,0,0.0,25.0,1.0,4.723179189668976
FOODS_2_011_CA_1_evaluation,2,2.600027105149076,36.0,0.9277770248569701,5.549979671138191
FOODS_2_012_CA_1_evaluation,0,0.0,20.0,1.0,4.688116510468556
FOODS_2_013_CA_1_evaluation,0,0.0,97.0,1.0,13.674192040581342
FOODS_2_014_CA_1_evaluation,0,0.0,1.0,1.0,8.814236955984684
FOODS_2_015_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_2_016_CA_1_evaluation,1,3.1956397886805163,175.0,0.9817392012075399,23.246905910510947
FOODS_2_017_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_2_018_CA_1_evaluation,0,0.0,81.0,1.0,6.541295848541107
FOODS_2_019_CA_1_evaluation,3,43.2066384770047,643.0,0.9328046057900393,54.02359257081792
FOODS_2_020_CA_1_evaluation,1,0.8459524935375278,41.0,0.9793670123527433,4.401249915561142
FOODS_2_021_CA_1_evaluation,3,3.6454244885001543,326.0,0.9888177162929443,22.015931633624888
FOODS_2_022_CA_1_evaluation,1,0.42957180942086026,31.0,0.9861428448573916,3.53496400007721
FOODS_2_023_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_2_024_CA_1_evaluation,0,0.0,53.0,1.0,5.399257502656158
FOODS_2_025_CA_1_evaluation,0,0.0,7.0,1.0,2.8885832647253005
FOODS_2_026_CA_1_evaluation,0,0.0,40.0,1.0,13.044536794840615
FOODS_2_027_CA_1_evaluation,0,0.0,8.0,1.0,3.722065845804138
FOODS_2_028_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_2_029_CA_1_evaluation,0,0.0,0.0,1.0,0.17438208997013485
FOODS_2_030_CA_1_evaluation,1,0.6669514037196791,86.0,0.9922447511195386,12.285500732924527
FOODS_2_031_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_2_032_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_2_033_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_2_034_CA_1_evaluation,4,7.970786116868144,45.0,0.8228714196251523,7.414767555206036
FOODS_2_035_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_2_036_CA_1_evaluation,0,0.0,0.0,1.0,0.21017954746164977
FOODS_2_037_CA_1_evaluation,0,0.0,10.0,1.0,3.524999767117303
FOODS_2_038_CA_1_evaluation,0,0.0,20.0,1.0,3.209513673222254
FOODS_2_039_CA_1_evaluation,0,0.0,0.0,1.0,0.2575662775818736
FOODS_2_040_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_2_041_CA_1_evaluation,1,0.8779398772654128,11.0,0.9201872838849625,5.1760515337725
